id,name,prefecture_id
1278,新宮市,30
1279,紀の川市,30
1280,岩出市,30
1281,紀美野町,30
1282,かつらぎ町,30
1283,九度山町,30
1284,高野町,30
1285,湯浅町,30
1286,広川町,30
1287,有田川町,30
1288,美浜町,30
1289,日高町,30
1290,由良町,30
1291,印南町,30
1292,みなべ町,30
1293,日高川町,30
1294,白浜町,30
1295,上富田町,30
1296,すさみ町,30
1297,那智勝浦町,30
1298,太地町,30
1299,古座川町,30
1300,北山村,30
1301,串本町,30
1302,その他,31
1303,鳥取市,31
1304,米子市,31
1305,倉吉市,31
1306,境港市,31
1307,岩美町,31
1308,若桜町,31
1309,智頭町,31
1310,八頭町,31
1311,三朝町,31
1312,湯梨浜町,31
1313,琴浦町,31
1314,北栄町,31
1315,日吉津村,31
1316,大山町,31
1317,南部町,31
1318,伯耆町,31
1319,日南町,31
1320,日野町,31
1321,江府町,31
1322,その他,32
1323,松江市,32
1324,浜田市,32
1325,出雲市,32
1326,益田市,32
1327,大田市,32
1328,安来市,32
1329,江津市,32
1330,雲南市,32
1331,奥出雲町,32
1332,飯南町,32
1333,川本町,32
1334,美郷町,32
1335,邑南町,32
1336,津和野町,32
1337,吉賀町,32
1338,海士町,32
1339,西ノ島町,32
1340,知夫村,32
1341,隠岐の島町,32
1342,その他,33
1343,岡山市,33
1344,倉敷市,33
1345,津山市,33
1346,玉野市,33
1347,笠岡市,33
1348,井原市,33
1349,総社市,33
1350,高梁市,33
1351,新見市,33
1352,備前市,33
1353,瀬戸内市,33
1354,赤磐市,33
1355,真庭市,33
1356,美作市,33
1357,浅口市,33
1358,和気町,33
1359,早島町,33
1360,里庄町,33
1361,矢掛町,33
1362,新庄村,33
1363,鏡野町,33
1364,勝央町,33
1365,奈義町,33
1366,西粟倉村,33
1367,久米南町,33
1368,美咲町,33
1369,吉備中央町,33
1370,その他,34
1371,広島市,34
1372,呉市,34
1373,竹原市,34
1374,三原市,34
1375,尾道市,34
1376,福山市,34
1377,府中市,34
1378,三次市,34
1379,庄原市,34
1380,大竹市,34
1381,東広島市,34
1382,廿日市市,34
1383,安芸高田市,34
1384,江田島市,34
1385,府中町,34
1386,海田町,34
1387,熊野町,34
1388,坂町,34
1389,安芸太田町,34
1390,北広島町,34
1391,大崎上島町,34
1392,世羅町,34
1393,神石高原町,34
1394,その他,35
1395,下関市,35
1396,宇部市,35
1397,山口市,35
1398,萩市,35
1399,防府市,35
1400,下松市,35
1401,岩国市,35
1402,光市,35
1403,長門市,35
1404,柳井市,35
1405,美祢市,35
1406,周南市,35
1407,山陽小野田市,35
1408,周防大島町,35
1409,和木町,35
1410,上関町,35
1411,田布施町,35
1412,平生町,35
1413,阿武町,35
1414,その他,36
1415,徳島市,36
1416,鳴門市,36
1417,小松島市,36
1418,阿南市,36
1419,吉野川市,36
1420,阿波市,36
1421,美馬市,36
1422,三好市,36
1423,勝浦町,36
1424,上勝町,36
1425,佐那河内村,36
1426,石井町,36
1427,神山町,36
1428,那賀町,36
1429,牟岐町,36
1430,美波町,36
1431,海陽町,36
1432,松茂町,36
1433,北島町,36
1434,藍住町,36
1435,板野町,36
1436,上板町,36
1437,つるぎ町,36
1438,東みよし町,36
1439,その他,37
1440,高松市,37
1441,丸亀市,37
1442,坂出市,37
1443,善通寺市,37
1444,観音寺市,37
1445,さぬき市,37
1446,東かがわ市,37
1447,三豊市,37
1448,土庄町,37
1449,小豆島町,37
1450,三木町,37
1451,直島町,37
1452,宇多津町,37
1453,綾川町,37
1454,琴平町,37
1455,多度津町,37
1456,まんのう町,37
1457,その他,38
1458,松山市,38
1459,今治市,38
1460,宇和島市,38
1461,八幡浜市,38
1462,新居浜市,38
1463,西条市,38
1464,大洲市,38
1465,伊予市,38
1466,四国中央市,38
1467,西予市,38
1468,東温市,38
1469,上島町,38
1470,久万高原町,38
1471,松前町,38
1472,砥部町,38
1473,内子町,38
1474,伊方町,38
1475,松野町,38
1476,鬼北町,38
1477,愛南町,38
1478,その他,39
1479,高知市,39
1480,室戸市,39
1481,安芸市,39
1482,南国市,39
1483,土佐市,39
1484,須崎市,39
1485,宿毛市,39
